1,Arsenal,Gunners
2,Aston Villa,Villains
3,Burnley,Clarets
4,Chelsea,Blues
5,Crystal Palace,Eagles
6,Everton,Toffees
7,Hull City,Tigers
8,Leicester City,Foxes
9,Liverpool,Reds
10,Manchester City,Sky Blues
11,Manchester United,Red Devils
12,Newcastle United,Magpies
13,Southampton,Saints
14,Sunderland,Black Cats
15,Swansea City,The Swans
16,Tottenham,Spurs
17,West Brom,Baggies
18,West Ham United,Hammers
19,Stoke City,Potters
20,Queens Park Rangers,Hoops
21,Blackburn Rovers,Rovers
22,Bolton Wanderers,Trotters
23,Charlton Athletic,Addicks
24,Derby County,Rams
25,Fulham,Cottagers
26,Ipswich Town,Tractor Boys
27,Leeds United,Lilywhites
28,Middlesbrough,Boro
29,Almería,Rojiblancos
30,Athletic Bilbao,Los Leones
31,Atlético Madrid,Los Rojiblancos
32,Barcelona,Blaugrana
33,Celta de Vigo,Os Célticos
34,Córdoba,Los Califas
35,Deportivo La Coruña,Brancoazuis
36,Eibar,Armeros
37,Elche,Los Franjiverdes
38,Espanyol,Periquitos
39,Getafe,Azulones
40,Granada,Nazaríes
41,Levante,Les Granotes
42,Málaga,Los Boquerones
43,Rayo Vallecano,Los Franjirrojos
44,Real Madrid,Los Blancos
45,Real Sociedad,Txuriurdin
46,Sevilla,Sevillistas
47,Valencia,Los Che
48,Villareal,El Submarino Amarillo
