Sébastien,Frey,,1980-03-18,France,Inter Milan
Iván Ramiro,Córdoba Sepúlveda,Iván Córdoba,1976-08-11,Colombia,Inter Milan
Javier,Zanetti,,1973-08-10,Argentina,Inter Milan
Michele,Serena,,1970-03-10,Italy,Inter Milan
Laurent,Blanc,,1965-11-19,France,Inter Milan
Antonio,Pacheco,,1976-04-11,Uruguay,Inter Milan
Vladimir,Jugović,,1969-08-30,Serbia,Inter Milan
Ronaldo Luís,Nazário de Lima,Ronaldo,1976-09-18,Brazil,Inter Milan
Clarence,Seedorf,,1976-04-01,The Netherlands,Inter Milan
Marco,Ballotta,,1964-04-03,Italy,Inter Milan
Dario,Šimić,,1975-11-12,Croatia,Inter Milan
Luigi,Di Biagio,,1971-06-03,Italy,Inter Milan
Benoît,Cauet,,1969-05-02,France,Inter Milan
Cristian,Brocchi,,1976-01-30,Italy,Inter Milan
Álvaro,Recoba,,1976-03-17,Uruguay,Inter Milan
Matteo,Ferrari,,1979-12-05,Italy,Inter Milan
Stéphane,Dalmat,,1979-02-16,France,Inter Milan
Vratislav,Gresko,,1977-07-24,Slovakia,Inter Milan
Francisco Javier,Farinós,,1978-03-29,Spain,Inter Milan
Christian,Vieri,,1973-07-12,Italy,Inter Milan
Hakan,Şükür,,1971-09-01,Turkey,Inter Milan
Robbie,Keane,,1980-07-08,Republic of Ireland,Inter Milan
Andrea,Pirlo,,1979-05-19,Italy,Inter Milan
Sixto,Peralta,,1979-04-16,Argentina,Inter Milan
Marcos André,Batista dos Santos,Vampeta,1974-03-13,Brazil,Inter Milan
Iván Luis,Zamorano Zamora,Iván Zamorano,1967-01-18,Chile,Inter Milan
Depri Cyril,Leandre Domoraud,Cyril Domoraud,1971-07-22,France,Inter Milan
Anselmo,Robbiati,,1970-01-01,Italy,Inter Milan
Edwin,van der Sar,,1970-10-29,The Netherlands,Juventus
Ciro,Ferrera,,1967-02-11,Italy,Juventus
Paolo,Montero,,1971-09-03,Uruguay,Juventus
Igor,Tudor,,1978-04-16,Croatia,Juventus
Fabián,O'Neill,,1973-10-14,Uruguay,Juventus
Gianluca,Pessotto,,1970-08-11,Italy,Juventus
Antonio,Conte,,1969-07-31,Italy,Juventus
Filippo,Inzaghi,,1973-08-09,Italy,Juventus
Alessandro,Del Piero,,1974-11-09,Italy,Juventus
Daniel,Fonseca,,1969-09-13,Uruguay,Juventus
Michelangelo,Rampulla,,1962-08-10,Italy,Juventus
Mark,Iuliano,,1973-08-12,Italy,Juventus
Alessandro,Birindelli,,1974-11-12,Italy,Juventus
David,Trezeguet,,1977-10-15,France,Juventus
Darko,Kovačević,,1973-11-18,Serbia & Montenegro,Juventus
Alessio,Tacchinardi,,1975-07-23,Italy,Juventus
Zinedine,Zidane,,1972-06-23,France,Juventus
Gianluca,Zambrotta,,1977-02-19,Italy,Juventus
Matteo,Brighi,,1981-02-14,Italy,Juventus
Edgar,Davids,,1973-03-13,The Netherlands,Juventus
Athirson,Mazolli e Oliveira,Athirson,1977-01-16,Brazil,Juventus
Vincent,Péricard,,1982-12-03,France,Juventus
Héctor Fabián,Carini Hernández,Fabián Carini,1979-12-26,Uruguay,Juventus
Jonathan,Bachini,,1975-06-05,Italy,Juventus
Juan Eduardo,Esnáider,Juan Esnáider,1973-03-05,Argentina,Juventus
Sebastiano,Rossi,,1964-07-20,Italy,AC Milan
Thomas,Helveg,,1971-06-24,Denmark,AC Milan
Paolo,Maldini,,1968-06-26,Italy,AC Milan
Demetrio,Albertini,,1971-08-23,Italy,AC Milan
Alessandro,Costacurta,,1966-04-24,Italy,AC Milan
Andriy,Shevchenko,,1976-09-29,Ukraine,AC Milan
Gennaro,Gattuso,,1978-01-09,Italy,AC Milan
Gianni,Comandini,,1977-05-18,Italy,AC Milan
Zvonomir,Boban,,1968-10-08,Croatia,AC Milan
José Maria,Romero Poyón,José Mari,1978-12-10,Spain,AC Milan
Christian,Abbiati,,1977-07-08,Italy,AC Milan
Kakhaber,Kaladze,Kahka Kaladze,1978-02-27,Gerogia,AC Milan
Roberto Fabián,Ayala,Roberto Ayala,1973-04-14,Argentina,AC Milan
Fernando Carlos,Redondo Neri,Fernando Redondo,1969-06-06,Argentina,AC Milan
Leonardo,Nascimento de Araújo,Leonardo,1969-09-05,Brazil,AC Milan
José Antonio,Chamot,,1969-05-17,Argentina,AC Milan
Oliver,Bierhoff,,1968-05-01,Germany,AC Milan
Roberto,Colombo,,1975-08-24,Italy,AC Milan
Nélson,de Jesus da Silva,Dida,1973-10-07,Brazil,AC Milan
Massimo,Ambrosini,,1977-05-29,Italy,AC Milan
José Vítor,Roque Júnior,Roque Júnior,1976-08-31,Brazil,AC Milan
Luigi,Sala,,1974-02-21,Italy,AC Milan
Sérgio Cláudio,dos Santos,Serginho,1971-06-27,Brazil,AC Milan
Fabrizio,Coloccini,,1982-01-22,Argentina,AC Milan
Marco,Donadel,,1983-04-21,Italy,AC Milan
Ibrahim,Ba,,1973-11-12,France,AC Milan
Francesco,Coco,,1977-01-08,Italy,AC Milan
Samir,Beloufa,,1979-08-27,Algeria,AC Milan
Federico,Giunti,,1971-08-06,Italy,AC Milan
Andrés,Guglielminpietro,Guly,1974-04-10,Argentina,AC Milan
Pablo Gabriel,García Pérez,Pablo García,1977-05-11,Uruguay,AC Milan
Luca,Marchegiani,,1966-02-22,Italy,Lazio
Paolo,Orlandoni,,1972-08-12,Italy,Lazio
Angelo,Peruzzi,,1970-02-16,Italy,Lazio
Paolo,Negro,,1972-04-16,Italy,Lazio
Daniel,Ola,,1982-11-23,Ghana,Lazio
Néstor,Sensini,,1966-10-12,Argentina,Lazio
Siniša,Mihajlović,,1969-02-20,Serbia,Lazio
Emanuele,Pesaresi,,1976-12-10,Italy,Lazio
Alessandro,Nesta,,1976-03-19,Italy,Lazio
Giuseppe,Pancaro,,1971-08-26,Italy,Lazio
Guerino,Gottardi,,1970-12-18,Switzerland,Lazio
Giuseppe,Favalli,,1972-01-08,Italy,Lazio
Fernando,Couto,,1969-08-02,Portugal,Lazio
Maurizio,Domizzi,,1980-06-28,Italy,Lazio
Francesco,Colonnese,,1971-08-10,Italy,Lazio
Dino,Baggio,,1971-07-24,Italy,Lazio
Karel,Poborský,,1972-03-30,Czech Republic,Lazio
Roberto,Baronio,,1977-12-11,Italy,Lazio
Diego,Simeone,,1970-04-28,Argentina,Lazio
Pavel,Nedvěd,,1972-08-30,Czech Republic,Lazio
Dejan,Stanković,,1978-09-11,Serbia,Lazio
Attilio,Lombardo,,1966-12-26,Italy,Lazio
Lucas Martín,Castromán,,1980-10-02,Argentina,Lazio
Iván,de la Peña,,1976-05-06,Spain,Lazio
Juan Sebastián,Verón,,1975-03-09,Argentina,Lazio
Claudio Javier,López,Claudio López,1974-07-17,Argentina,Lazio
Marcelo,Salas,,1974-12-24,Chile,Lazio
Hernán Jorge,Crespo,Hernán Crespo,1975-07-05,Argentina,Lazio
Simone,Inzaghi,,1976-04-05,Italy,Lazio
Fabrizio,Ravanelli,,1968-12-11,Italy,Lazio
Francesco,Antonioli,,1969-09-14,Italy,Roma
Marco,Amelia,,1982-04-02,Italy,Roma
Cristiano,Lupatelli,,1978-06-21,Italy,Roma
Alesasndro,Rinaldi,,1974-11-23,Italy,Roma
Amedeo,Mangone,,1968-07-12,Italy,Roma
Jonathan,Zebina,,1978-07-19,France,Roma
Aldair,Nascimento dos Santos,Aldair,1965-11-30,Brazil,Roma
Water,Samuel,,1978-03-23,Argentina,Roma
Antônio,Carlos Zago,Zago,1969-03-14,Brazil,Roma
Vincent,Candela,,1973-10-24,France,Roma
Cristiano,Zanetti,,1977-04-14,Italy,Roma
Eusebio,Di Francesco,,1969-09-08,Italy,Roma
Émerson,Ferreira da Rosa,Émerson,1976-10-04,Brazil,Roma
Hidetoshi,Nakata,,1977-01-22,Japan,Roma
Damiano,Tommasi,,1974-05-17,Italy,Roma
Marcos,Assunção,,1976-07-25,Brazil,Roma
Gianni,Guigou,,1975-02-22,Uruguay,Roma
Gaetano,D'Agostino,,1982-06-03,Italy,Roma
Vincenzo,Montella,,1974-06-18,Italy,Roma
Francesco,Totti,,1976-09-27,Italy,Roma
Marco,Delvecchio,,1973-04-07,Italy,Roma
Abel,Balbo,,1966-06-01,Argentina,Roma
Gabriel,Bastistuta,,1969-02-01,Argentina,Roma
Ednilson Pedro,Rocha Andrade Mendes,Ednilson,1982-09-25,Portugal,Roma
Paolo,Poggi,,1971-02-16,Italy,Roma
Marcos,Evangelista de Morais,Cafu,1970-06-07,Brazil,Roma
