Daniel,Aranzubia,,1979-09-18,Spain,Athletic Bilbao
Iñaki,Lafuente,,1976-01-24,Spain,Athletic Bilbao
Aitor,Larrazábal Bilbao,Aitor Larrazábal,1971-06-21,Spain,Athletic Bilbao
Aitor,Ocio Carrión,Aitor Ocio,1976-11-28,Spain,Athletic Bilbao
Rafael,Alkorta Martínez,Rafael Alkorta,1968-09-16,Spain,Athletic Bilbao
Carlos,García García,Carlos García,1970-08-13,Spain,Athletic Bilbao
Asier,Del Horno,,1981-01-19,Spain,Athletic Bilbao
Jesús María,Lacruz Gómez,Jesús Lacruz,1978-04-25,Spain,Athletic Bilbao
Iñigo,Larrainzar,,1971-06-05,Spain,Athletic Bilbao
Ander,Murillo García,Ander Murillo,1983-07-26,Spain,Athletic Bilbao
Roberto,Ríos Patus,,1971-10-08,Spain,Athletic Bilbao
Bittor,Alkiza Fernández,Bittor Alkiza,1970-10-28,Spain,Athletic Bilbao
David,Cuéllar Tainta,David Cuéllar,1979-11-01,Spain,Athletic Bilbao
Felipe,Guréndez Aldanondo,Felipe,1975-11-18,Spain,Athletic Bilbao
Francisco Javier,Yeste Navarro,Fran Yeste,1979-12-06,Spain,Athletic Bilbao
Julen,Guerrero López,,1974-01-07,Spain,Athletic Bilbao
Carlos,Gurpegui Nausia,Carlos Gurpegui,1980-08-19,Spain,Athletic Bilbao
Andoni,Imaz Garmendia,,1971-09-05,Spain,Athletic Bilbao
Javier,González Gómez,Javi González,1974-03-22,Spain,Athletic Bilbao
Pablo,Orbaiz Lesaka,Pablo Orbaiz,1979-02-06,Spain,Athletic Bilbao
Óscar,Vales Varela,Óscar Vales,1974-09-13,Spain,Athletic Bilbao
Roberto,Martínez Rípodas,Tiko,1976-09-15,Spain,Athletic Bilbao
Josu,Urrutia Tellería,Josu Urrutia,1968-04-10,Spain,Athletic Bilbao
Joseba Andoni,Etxeberria Lizardi,Joseba Etxeberria,1977-09-05,Spain,Athletic Bilbao
Santiago,Ezquerro Marín,Santiago Ezquerro,1976-12-14,Spain,Athletic Bilbao
David,Karanka,,1978-04-20,Spain,Athletic Bilbao
Ismael,Urzaiz Aranda,,1971-10-07,Spain,Athletic Bilbao
Juan Miguel,García Inglés,Juanmi,1971-03-09,Spain,Real Zaragoza
César,Laínez Sanjuan,Laínez,1977-04-10,Spain,Real Zaragoza
César,Jiménez Jiménez,César,1977-11-24,Spain,Real Zaragoza
Luis Carlos,Cuartero Lafarga,Cuartero,1975-08-17,Spain,Real Zaragoza
José Marcelo,Januário Araújo,Esquerdinha,1972-05-06,Brazil,Real Zaragoza
Slobodan,Komljenović,,1971-01-02,Serbia,Real Zaragoza
Pablo Javier,Diaz Stalla,Pablo,1971-08-05,Spain,Real Zaragoza
Francisco Javier,Jémez Martín,Paco Jemez,1970-04-18,Spain,Real Zaragoza
Gary,Sundgren,,1967-10-25,Sweden,Real Zaragoza
Xavier,Companys Aguado,Xavier Aguado,1968-06-05,Spain,Real Zaragoza
Roberto Miguel,Acuña Cabello,Roberto Acuña,1972-03-25,Paraguay,Real Zaragoza
Rubén,Gracia Calmache,Cani,1981-08-03,Spain,Real Zaragoza
Carlos,Narciso Chaínho,Chainho,1974-07-10,Portugal,Real Zaragoza
Miguel Ángel,García Pérez-Roldán,Corona,1981-02-12,Spain,Real Zaragoza
Ander,Garitano Urquizu,Garitano,1969-02-26,Spain,Real Zaragoza
José Ignacio,Sáenz Martín,Jose Ignacio,1973-09-28,Spain,Real Zaragoza
Marcos,Vales Illanes,Marcos Vales,1975-04-05,Spain,Real Zaragoza
César Miguel,Rebosio Compans,Miguel Rebosio,1976-10-20,Peru,Real Zaragoza
Santiago,Aragón Martínez,Santiago Aragon,1968-04-03,Spain,Real Zaragoza
Savo,Milošević,,1973-09-02,Serbia,Real Zaragoza
Juan,Castaño Quirós,Juanele,1971-04-10,Spain,Real Zaragoza
Luciano Martín,Galletti,,1980-04-09,Argentina,Real Zaragoza
Goran,Drulić,,1977-04-17,Serbia,Real Zaragoza
Martín,Vellisca González,Vellisca,1967-04-25,Spain,Real Zaragoza
Paulo Roberto,Jamelli Júnior,Jamelli,1974-07-22,Brazil,Real Zaragoza
Sander,Westerveld,,1974-10-23,The Netherlands,Real Sociedad
Alberto,López Fernández,Alberto López,1969-05-20,Spain,Real Sociedad
Agustín Alkorta,Aranzábal,Agustín Aranzábal,1973-03-15,Spain,Real Sociedad
Zuhaitz,Gurrutxaga Loiola,Gurrutxaga,1980-11-23,Spain,Real Sociedad
Igor,Jáuregui Iraola,Igor Jáuregui,1974-04-29,Spain,Real Sociedad
Bjørn,Tore Kvarme,,1972-06-17,Norway,Real Sociedad
Aitor,López Rekarte,,1975-08-18,Spain,Real Sociedad
Lorenzo,Juarros García,Loren,1966-10-07,Spain,Real Sociedad
Luiz Alberto,da Silva Oliveira,Luiz Alberto,1977-12-01,Brazil,Real Sociedad
José Antonio,Pikabea Larrate,José Pikabea,1970-09-26,Spain,Real Sociedad
Mikel,Aranburu Eizagirre,Mikel Aranburu,1979-02-18,Spain,Real Sociedad
Francisco Javier,De Pedro,,1973-08-04,Spain,Real Sociedad
Igor,Gabilondo del Campo,Igor Gabilondo,1979-02-10,Spain,Real Sociedad
Iñigo,Idiakez Barkaiztegui,Iñigo Idiakez,1973-11-08,Spain,Real Sociedad
Dmitriy,Khoklov,,1975-12-22,Russia,Real Sociedad
Tayfun,Korkut,,1974-04-02,Turkey,Real Sociedad
Mikel,Alonso Olano,Mikel,1980-05-16,Spain,Real Sociedad
Xabier,Alonso Olano,Xabi Alonso,1981-11-25,Spain,Real Sociedad
Óscar,de Paula Gamero,Óscar de Paula,1975-05-31,Spain,Real Sociedad
Nihat,Kahveci,Nihat,1979-11-23,Turkey,Real Sociedad
Darko,Kovačević,,1973-11-18,Serbia,Real Sociedad
Joseba,Llorente Etxarri,Joseba Llorente,1979-11-24,Spain,Real Sociedad
Leonardo Ángel,Biagini,,1977-04-13,Argentina,Mallorca
Veljko,Paunovic,,1977-08-21,Serbia,Mallorca
Cristian,Díaz,,1976-05-12,Argentina,Mallorca
Vicente,Engonga,,1965-10-20,Spain,Mallorca
Samuel,Eto'o,,1981-03-10,Cameroon,Mallorca
Fernando,Niño Bejarano,Fernando Niño,1974-09-16,Spain,Mallorca
Ariel,Ibagaza,,1976-10-27,Argentina,Mallorca
Leonardo Neoren,Franco,Leo Franco,1977-05-20,Argentina,Mallorca
Alberto,Luque,,1978-03-11,Spain,Mallorca
Marcos Martín,de la Fuente,Marcos,1968-09-17,Spain,Mallorca
Miguel,Garró Gomila,Miki,1975-12-20,Spain,Mallorca
Miquel,Soler Sarasols,Miquel Soler,1965-03-16,Spain,Mallorca
Miguel Ángel,Nadal Homar,Miguel Nadal,1966-07-28,Spain,Mallorca
Álvaro,Novo Ramírez,Álvaro Novo,1978-05-16,Spain,Mallorca
Javier,Olaizola Rodríguez,Javier Olaizola,1969-11-28,Spain,Mallorca
Carlos Ángel,Roa,Carlos Roa,1969-08-15,Argentina,Mallorca
Gustavo Lionel,Siviero,,1969-09-13,Argentina,Mallorca
Francisco,Soler Atencia,Francisco Soler,1970-03-05,Spain,Mallorca
Vicente,Fernández Pujante,Vicente,1975-09-17,Spain,Mallorca
Pedro José,Dorronsoro González,Dorronsoro,1977-05-12,Spain,Real Oviedo
Esteban Andrés,Suárez,Esteban,1975-06-27,Spain,Real Oviedo
Ángel Luis,Pérez Pérez,Ángel Luis,1981-02-21,Spain,Real Oviedo
Sergio Boris,Gonzáles Monteagudo,Boris,1980-05-26,Spain,Real Oviedo
Javier,Gurrutxaga Rivero,Gurrutxaga,1975-06-13,Spain,Real Oviedo
Viktor,Savelievich Onopko,Viktor Onopko,1969-10-14,Russia,Real Oviedo
Óscar,Álvarez Sanjuán,Óscar Álvarez,1977-06-09,Spain,Real Oviedo
Javier,Paredes Arango,Javier Paredes,1982-07-05,Spain,Real Oviedo
Raúl,García Lozano,Raúl García,1980-09-11,Spain,Real Oviedo
Albert,Nadj,,1974-10-29,Serbia,Real Oviedo
Óscar Pérez,Bovela,Óscar Pérez,1981-08-27,Spain,Real Oviedo
Rubén,Reyes Díaz,Rubén Reyes,1979-01-05,Spain,Real Oviedo
Đorđe,Tomić,,1972-11-11,Serbia,Real Oviedo
Eugenio,Suárez Santos,Geni,1980-02-04,Spain,Real Oviedo
Oliveiro Jesús,Álvarez González,Oli,1972-04-02,Spain,Real Oviedo
Sergio,Santamaría González,Santamaría,1980-07-16,Spain,Real Oviedo
Rubén,Suárez del Río,Rubén,1975-07-18,Spain,Real Oviedo
Iker,Casillas Fernández,Iker Casillas,1981-05-20,Spain,Real Madrid
Miguel Ángel,Salgado Fernández,Míchel Salgado,1975-10-22,Spain,Real Madrid
Roberto,Carlos da Silva Rocha,Roberto Carlos,1973-04-10,Brazil,Real Madrid
Fernando,Ruiz Hierro,Fernando Hierro,1968-03-23,Spain,Real Madrid
Zinedine,Zidane,,1972-06-23,France,Real Madrid
Iván,Helguera Bujía,Iván Helguera,1975-03-28,Spain,Real Madrid
Raúl,González Blanco,Raúl,1977-06-27,Spain,Real Madrid
Steve,McManaman,,1972-02-11,England,Real Madrid
Fernando,Morientes Sánchez,Fernando Morientes,1976-04-05,Spain,Real Madrid
Luís Filipe,Madeira Caeiro Figo,Luís Figo,1972-11-04,Portugal,Real Madrid
Sávio,Bortolini Pimentel,Sávio,1974-01-09,Brazil,Real Madrid
Iván,Campo Ramos,Iván Campo,1974-02-21,Spain,Real Madrid
César,Sánchez Domínguez,César Sánchez,1971-09-02,Spain,Real Madrid
José María,Gutiérrez Hernández,Guti,1976-10-31,Spain,Real Madrid
Geremi Sorele,Njitap Fotso,Geremi,1978-12-20,Cameroon,Real Madrid
Flávio,da Conceição,Flávio Conceição,1974-06-12,Brazil,Real Madrid
Aitor,Karanka de la Hoz,Aitor Karanka,1973-09-18,Spain,Real Madrid
Albert,Celades López,Albert Celades,1975-09-29,Spain,Real Madrid
Santiago Hernán,Solari,Santiago Solari,1976-10-07,Argentina,Real Madrid
Francisco,Pavón Barahona,Francisco Pavón,1980-01-09,Spain,Real Madrid
Pedro,Munitis Álvarez,Pedro Munitis,1975-06-19,Spain,Real Madrid
Claude,Makélélé,,1973-02-18,France,Real Madrid
Óscar,Miñambres Pascual,Óscar Miñambres,1981-01-01,Spain,Real Madrid
Carlos,Sánchez García,Carlos Sánchez,1978-01-19,Spain,Real Madrid
Álvaro,Benito Villar,Álvaro Benito,1976-12-10,Spain,Real Madrid
Francisco de Borja,Fernández Fernández,Borja Fernández,1981-01-14,Spain,Real Madrid
Raúl,Bravo Sanfélix,Raúl Bravo,1981-04-14,Spain,Real Madrid
Valmiro,Lopes Rocha,Valdo,1981-04-23,Spain,Real Madrid
Rubén,González Rocha,Rubén,1982-01-29,Spain,Real Madrid
Javier,García Portillo,Javier Portillo,1982-03-30,Spain,Real Madrid
Roberto Oscar,Bonano,Roberto Bonano,1970-01-24,Argentina,Barcelona
Michael,Reiziger,,1973-05-03,The Netherlands,Barcelona
Frank,de Boer,,1970-05-15,The Netherlands,Barcelona
Patrik,Andersson,,1971-08-18,Sweden,Barcelona
Abelardo,Fernández Antuña,Abelardo,1970-04-19,Spain,Barcelona
Xavier,Hernández Creus,Xavi,1980-01-25,Spain,Barcelona
Javier Pedro,Saviola Fernández,Javier Saviola,1981-12-11,Argentina,Barcelona
Phillip,Cocu,,1970-10-29,The Netherlands,Barcelona
Patrick,Kluivert,,1976-07-01,The Netherlands,Barcelona
Rivaldo Vítor,Borba Ferreira,Rivaldo,1972-04-19,Brazil,Barcelona
Marc,Overmars,,1973-03-29,The Netherlands,Barcelona
Sergi,Barjuán i Esclusa,Sergi Barjuán,1971-12-28,Spain,Barcelona
José Manuel,Reina Páez,Pepe Reina,1982-08-31,Spain,Barcelona
Gerard,López Segú,Gerard,1979-03-12,Spain,Barcelona
Fábio,Rochemback,Fábio Rochemback,1981-12-10,Brazil,Barcelona
Philippe,Christanval,,1978-08-31,France,Barcelona
Gabriel Francisco,García de la Torre,Gabri,1979-02-10,Spain,Barcelona
Daniel,García Lara,Dani,1974-12-22,Spain,Barcelona
Alfonso,Pérez Muñoz,Alfonso Pérez,1972-09-26,Spain,Barcelona
Luis Enrique,Martínez García,Luis Enrique,1970-05-08,Spain,Barcelona
Geovanni Deiberson,Maurício Gómez ,Geovanni,1980-01-11,Brazil,Barcelona
Francesco,Coco,,1977-01-08,Italy,Barcelona
Carles,Puyol Saforcada,Carles Puyol,1978-04-13,Spain,Barcelona
Richard,Dutruel,,1972-12-24,France,Barcelona
Fernando,Navarro Corbacho,Fernando Navarro,1982-06-25,Spain,Barcelona
Thiago,Motta,Thiago Motta,1982-08-28,Italy,Barcelona
Roberto,Trashorras Gayoso,Roberto Trashorras,1981-02-28,Spain,Barcelona
José Santiago,Cañizares Ruiz,Santiago Cañizares,1969-12-18,Spain,Valencia
Andrés,Palop Cervera,Andrés Palop,1973-10-22,Spain,Valencia
David,Rángel Pastor,David Rángel,1979-07-25,Spain,Valencia
Ángel Roberto,Amarilla Lezcano,Ángel Amarilla,1981-07-27,Paraguay,Valencia
Fábio,Aurélio Rodrigues,Fábio Aurélio,1979-09-24,Brazil,Valencia
Amedeo,Carboni,,1965-04-06,Italy,Valencia
Mauricio,Andrés Pellegrino,Mauricio Pellegrino,1971-10-05,Argentina,Valencia
Miroslav,Đukić,,1966-02-19,Serbia,Valencia
Roberto Fabián,Ayala,Roberto Ayala,1973-04-14,Argentina,Valencia
Jocelyn,Angloma,,1965-08-07,France,Valencia
Carlos,Marchena López,,1979-07-31,Spain,Valencia
Cristóbal Emilio,Torres Ruiz,Curro Torres,1976-12-27,Spain,Valencia
David,Navarro Pedrós,David Navarro,1980-05-25,Spain,Valencia
Francisco Joaquín,Pérez Rufete,Francisco Rufete,1976-11-20,Spain,Valencia
Gonzalo, de los Santos da Rosa,Gonzalo de los Santos,1976-07-19,Uruguay,Valencia
David,Albelda Aliqués,David Albelda,1977-09-01,Spain,Valencia
Cristian Alberto,González Peret,Kily González,1974-08-04,Argentina,Valencia
Rubén,Baraja Vegas,Rubén Baraja,1975-07-11,Spain,Valencia
Dennis,Şerban,,1976-01-05,Romania,Valencia
Miguel Ángel,Angulo Valderrey,Angulo,1977-06-23,Spain,Valencia
