First Name,Second Name,Common Name,Date of Birth,Nationality,Club,Position,GK,TK,PS,SH,HD,PC,ST,BC,SP,Training
Mattia,De Sciglio,,1992-10-20,Italy,AC Milan,DR,17,85,43,30,77,90,86,62,48,9
Sulley,Muntari,,1984-08-27,Ghana,AC Milan,MC,18,52,87,31,75,86,73,86,62,3
Michael,Agazzi,,1984-07-03,Italy,AC Milan,GK,82,49,42,32,45,53,57,46,34,4
Nigel,De Jong,,1984-11-30,The Netherlands,AC Milan,MC,20,65,90,33,87,80,92,68,49,4
Cristian,Zaccardo,,1981-12-21,Italy,AC Milan,DC,18,84,37,34,85,80,83,61,47,2
Christian,Abbiati,,1977-07-08,Italy,AC Milan,GK,88,47,41,34,47,53,56,46,33,1
Diego,López Rodríguez,Diego López,1981-11-03,Spain,AC Milan,GK,91,48,41,34,48,55,57,46,35,1
Cristián Eduardo,Zapata Valencia,Cristián Zapata,1986-09-30,Colombia,AC Milan,DC,18,84,37,35,88,88,82,58,47,6
Gabriel,Paletta,,1986-02-15,Italy,AC Milan,DC,17,85,38,35,92,79,82,58,49,5
Philippe,Mexès,,1982-03-30,France,AC Milan,DC,19,87,40,35,85,82,80,59,48,2
Alex Rodrigo,Dias da Costa,Alex,1982-06-17,Brazil,AC Milan,DC,19,91,43,35,90,90,83,63,53,3
Luca,Antonelli,,1985-02-11,Italy,AC Milan,DL,18,84,47,35,73,83,90,65,47,6
Ignazio,Abate,,1986-11-12,Italy,AC Milan,DR,18,84,39,36,72,83,90,57,50,6
Daniele,Bonera,,1981-05-31,Italy,AC Milan,D,18,88,38,37,88,80,82,60,50,2
Keisuke,Honda,,1986-06-13,Japan,AC Milan,M,18,31,87,40,65,82,95,79,58,5
Andrea,Poli,,1989-09-29,Italy,AC Milan,MC,17,34,85,44,72,82,87,81,68,7
Hachim,Mastour,,1998-06-15,Italy,AC Milan,MC,15,33,80,47,63,88,79,80,62,10
Giacomo,Bonaventura,,1989-08-22,Italy,AC Milan,MC,17,35,86,47,70,84,80,88,79,7
Riccardo,Montolivo,,1985-01-18,Italy,AC Milan,M,19,47,90,47,78,84,86,86,78,5
